time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-11T00:50:34.200Z,38.7976685,-122.7503357,1.25,0.96,md,18,96,0.007899,0.05,nc,nc73521366,2021-02-11T01:06:05.737Z,"2km NNE of The Geysers, CA",earthquake,0.29,0.46,0.07,4,automatic,nc,nc
2021-02-11T00:30:50.560Z,42.4431666666667,-122.7715,-1.34,1.94,ml,7,122,0.1445,0.2,uw,uw61713006,2021-02-11T01:36:27.130Z,"4 km SE of Eagle Point, Oregon",explosion,0.53,31.61,0.160034668124577,5,reviewed,uw,uw
2021-02-11T00:22:33.293Z,60.6256,-151.8548,76,2.5,ml,,,,0.6,ak,ak0211xgpd1a,2021-02-11T00:35:57.739Z,"29 km W of Salamatof, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-02-11T00:21:21.800Z,38.7873344,-122.9345016,10.38,1.18,md,18,158,0.0583,0.19,nc,nc73521356,2021-02-11T00:38:07.582Z,"7km ESE of Cloverdale, CA",earthquake,1.37,1.48,0.09,4,automatic,nc,nc
2021-02-11T00:16:38.074Z,37.5974,-117.8752,0.1,1.1,ml,18,183.3,0.403,0.1963,nn,nn00800072,2021-02-11T01:25:48.578Z,"18 km ESE of Dyer, Nevada",earthquake,,3.2,0.89,6,reviewed,nn,nn
2021-02-11T00:14:54.800Z,33.1691667,-115.5955,3.63,0.57,ml,7,133,0.01881,0.19,ci,ci39548239,2021-02-11T01:23:43.106Z,"9km WNW of Calipatria, CA",earthquake,1.44,1.05,0.018,1,reviewed,ci,ci
2021-02-11T00:14:47.365Z,-23.2175,171.6905,10,5.9,mww,,50,8.073,0.91,us,us6000dggq,2021-02-11T02:18:46.055Z,"southeast of the Loyalty Islands",earthquake,7.9,1.2,0.071,19,reviewed,us,us
2021-02-11T00:07:14.424Z,41.104,-117.3961,8.6,3.7,ml,8,130.35,0.686,0.1871,nn,nn00800068,2021-02-11T02:45:32.928Z,"18 km NNE of Golconda, Nevada",earthquake,,6.7,0.21,7,reviewed,nn,nn
2021-02-11T00:00:19.260Z,19.2106666564941,-155.393829345703,32.2599983215332,1.71000004,md,22,164,,0.159999996,hv,hv72347257,2021-02-11T00:03:30.270Z,"8 km E of Pāhala, Hawaii",earthquake,0.9,1.10000002,1.71000004,4,automatic,hv,hv
2021-02-10T23:55:41.355Z,69.7037,-144.3107,16.9,2.2,ml,,,,0.85,ak,ak0211w722ow,2021-02-11T00:09:13.621Z,"54 km SSW of Kaktovik, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-10T23:53:12.090Z,17.9781,-66.8738,11,2.28,md,9,192,0.1706,0.06,pr,pr2021041015,2021-02-11T00:22:39.800Z,"1 km E of Maria Antonia, Puerto Rico",earthquake,0.46,0.71,0.19,9,reviewed,pr,pr
2021-02-10T23:46:13.130Z,35.7098333,-117.5685,8.23,0.02,ml,10,158,0.1083,0.22,ci,ci39548199,2021-02-11T01:21:07.089Z,"14km NE of Ridgecrest, CA",earthquake,0.84,1.65,0.108,2,reviewed,ci,ci
2021-02-10T23:45:15.898Z,-23.2041,171.6565,10,5.9,mww,,52,8.088,0.86,us,us6000dgg9,2021-02-11T01:49:05.298Z,"southeast of the Loyalty Islands",earthquake,8.9,1.8,0.083,14,reviewed,us,us
2021-02-10T23:43:21.946Z,-23.2063,171.6824,10,5.1,mb,,102,8.072,1.12,us,us6000dgg7,2021-02-11T00:11:01.040Z,"southeast of the Loyalty Islands",earthquake,10.6,1.8,0.054,109,reviewed,us,us
2021-02-10T23:39:32.030Z,33.1801667,-115.6023333,3.49,0.51,ml,6,114,0.01148,0.19,ci,ci39548183,2021-02-11T01:12:37.542Z,"10km NW of Calipatria, CA",earthquake,1.52,1,0.042,2,reviewed,ci,ci
2021-02-10T23:32:47.002Z,-22.8693,171.7641,10,5.3,mb,,104,7.797,0.9,us,us6000dgg1,2021-02-10T23:49:42.040Z,"southeast of the Loyalty Islands",earthquake,11.8,1.9,0.066,77,reviewed,us,us
2021-02-10T23:26:27.326Z,-23.066,171.8876,10,5.2,mb,,85,7.838,0.72,us,us6000dgfy,2021-02-10T23:45:01.040Z,"southeast of the Loyalty Islands",earthquake,6.8,1.8,0.077,56,reviewed,us,us
